Precinct ID,Address
1387001,7978 S Trenton St Centennial CO 
1387001,7853 S Ulster St Centennial CO 
1387002,8316 E Jamison Cir Centennial CO 
1387002,9019 E Panorama Cir Englewood CO 
1387003,8259 S Trenton Way Centennial CO 
1387003,7990 E Phillips Cir Englewood CO 
1387004,8085 S Willow Ct Englewood CO 
1387004,8590 E Nichols Ave Centennial CO 
1387005,10200 E Dry Creek Rd Englewood CO 
1387005,6780 S Galena St Centennial CO 
1387006,14301 E Arapahoe Rd Centennial CO 
1387006,13583 E Longview Ave Englewood CO 
1387102,22870 E Chenango Ave Aurora CO 
1387102,4762 S Riviera St Centennial CO 
1387103,4006 S Odessa St Aurora CO 
1387103,4052 S Nepal St Aurora CO 
1387104,22272 E Navarro Pl Aurora CO 
1387104,3782 S Shawnee Way Aurora CO 
1387139,1714 S Troy St Aurora CO 
1387139,1585 S Ursula Ct Aurora CO 
1387140,1243 S Uvalda St Aurora CO 
1387140,12431 E Louisiana Ave Aurora CO 
1387141,13294 E Kansas Dr Aurora CO 
1387141,1637 S Wheeling Cir Aurora CO 
1387145,15003 E Bails Pl Aurora CO 
1387145,15194 E Bails Pl Aurora CO 
1387146,14095 E Evans Ave Aurora CO 
1387146,2353 S Dillon St Denver CO 
1387147,14693 E Wesley Ave Aurora CO 
1387147,2500 S Fairplay Way Aurora CO 
1387246,19 Pony Express Trl Pagosa S CO 
1387246,19 Pony Express Trl Pagosa S CO 
1387247,2801 County Road 400 Pagosa Springs CO 
1387247,226 Lewis St Pagosa Springs CO 
1387248,1038 Catchpole Dr Pagosa Springs CO 
1387248,99 Paul-Hood Pl Pagosa Springs CO 
1387249,161 Cedar Dr Pagosa Springs CO 
1387249,375 Cox Cir Pagosa Springs CO 
1387250,1013 Starling Cir Pagosa Springs CO 
1387250,155 Windmill Pl Pagosa Springs CO 
1387251,335 Martinez Pl Pagosa Springs CO 
1387251,153 Granada Dr Pagosa Springs CO 
1387252,440 Caddy Cir Pagosa Springs CO 
1387252,522 Cloud Cap Ave Pagosa Springs CO 
1387253,518 S 9th St Pagosa Springs CO 
1387253,1230 Bristlecone Dr Pagosa Springs CO 
1387502,11837 Ridge Pkwy Broomfield CO 
1387502,11843 Ridge Pkwy Broomfield CO 
1387503,2705 Industrial Ln Broomfield CO 
1387503,2705 Industrial Ln Broomfield CO 
1387504,13650 Via Varra Broomfield CO 
1387504,13593 Via Varra Broomfield CO 
1387505,2140 W 10th Ave Broomfield CO 
1387505,2893 Ridge Dr Broomfield CO 
1387506,780 Burbank St Broomfield CO 
1387506,635 Alter St Broomfield CO 
1387507,11449 Central Ct Broomfield CO 
1387507,8201 Parkland St Broomfield CO 
1387508,1295 W 4th Ave Broomfield CO 
1387508,205 Marble St Broomfield CO 
1387509,68 Garden Ctr Broomfield CO 
1387509,700 Nickel St Broomfield CO 
1387510,1080 Opal St Broomfield CO 
1387510,1148 Opal St Broomfield CO 
1387511,1636 Iris St Broomfield CO 
1387511,1731 Daphne St Broomfield CO 
1387512,500 W Midway Blvd Broomfield CO 
1387512,390 Coral St Broomfield CO 
1387513,1395 Abilene Dr Broomfield CO 
1387513,1724 Daisy Ct Broomfield CO 
1387514,116 Ponderosa St Broomfield CO 
1387514,114 Willow Pl N Broomfield CO 
1387515,325 Garnet St Broomfield CO 
1387515,285 Coral Way Broomfield CO 
1387516,375 Aspen Ct Broomfield CO 
1387516,12451 Sheridan Blvd Broomfield CO 
1387517,1772 Peregrine Ln Broomfield CO 
1387517,97 E 14th Pl Broomfield CO 
1387518,13690 Fall Creek Cir Broomfield CO 
1387518,5854 Star View Dr Broomfield CO 
1387519,1126 Highland Park Dr Broomfield CO 
1387519,961 E 1st Ave Broomfield CO 
1387520,22 Amesbury St Broomfield CO 
1387520,12975 Sheridan Blvd Broomfield CO 
1387521,1800 Birch St Broomfield CO 
1387521,1371 Bellaire St Broomfield CO 
1387522,3909 W 127th Ave Broomfield CO 
1387522,12205 Perry St Broomfield CO 
1387523,12212 Cherrywood St Broomfield CO 
1387523,12540 Grove St Broomfield CO 
1387524,12703 Zenobia St Broomfield CO 
1387524,12665 Yates St Broomfield CO 
1387525,4730 Pyramid Cir Broomfield CO 
1387525,4614 Red Deer Trl Broomfield CO 
1387526,5122 Brookside Dr Broomfield CO 
1387526,14261 Wright Way Broomfield CO 
1387527,14714 Eagle River Loop Broomfield CO 
1387527,4798 Raven Run Broomfield CO 
1387528,2889 W 126th Ave Broomfield CO 
1387528,2859 Elaine Dr Broomfield CO 
1387529,2885 E Midway Blvd Denver CO 
1387529,2885 E Midway Blvd Northglenn CO 
1387530,13100 Julian Ct Broomfield CO 
1387530,13112 Julian Ct Broomfield CO 
1387531,13305 Alcott Cir Broomfield CO 
1387531,13192 Bryant Cir Broomfield CO 
1387532,3575 Copper Ave Broomfield CO 
1387532,3240 W 134th Ave Broomfield CO 
1387533,1445 Eversole Dr Westminster CO 
1387533,14395 Corrine Ct Broomfield CO 
1387534,14037 Park Cove Dr Broomfield CO 
1387534,14222 Lakeview Ln Broomfield CO 
1387535,2680 Marion Way Westminster CO 
1387535,2440 Red Hawk Pl Broomfield CO 
1387536,4514 Silver Mountain Loop Broomfield CO 
1387536,16504 Las Brisas Dr Broomfield CO 
1387537,16757 Compass Way Broomfield CO 
1387537,15976 Swan Mountain Dr Broomfield CO 
1387538,4715 County Road 2 Broomfield CO 
1387538,4715 County Road 2 Broomfield CO 
1387540,330 Crestone Ave Salida CO 
1387540,330 W State Highway 291 Salida CO 
1387541,233 E 1st St Salida CO 
1387541,229 F St Salida CO 
1387542,105 Scott St Salida CO 
1387542,204 Palmer St Salida CO 
1387543,9080 County Road 240 Salida CO 
1387543,8603 Cameron Meadow Cir Salida CO 
1387544,10427 E Mesa View Ct Poncha Springs CO 
1387544,7600 Meadowlark Dr Salida CO 
1387545,30220 Columbia Pt Buena Vista CO 
1387545,43198 N County Road 397 Granite CO 
1387546,105 Surrey St Buena Vista CO 
1387546,28870 Ramsour Rd Buena Vista CO 
1387547,404 N Colorado Ave Buena Vista CO 
1387547,28955 County Road 361a Buena Vista CO 
1387548,22607 County Road 287 Nathrop CO 
1387548,21357 Chalk Creek Dr Nathrop CO 
1387549,18390 Trail West Dr Buena Vista CO 
1387549,16370 County Road 356-12 Buena Vista CO 
1387550,530 W 16th St Salida CO 
1387550,29 Trailside Ct Salida CO 
1387551,107 W 14th St Salida CO 
1387551,627 G St Salida CO 
1387552,26520 County Road 310 Buena Vista CO 
1387552,10795 County Road 197a Nathrop CO 
1387553,21500 County Road 185c Nathrop CO 
1387553,6185 County Road 156 Salida CO 
1387554,701 E Rainbow Blvd Salida CO 
1387554,7061 County Road 110 Salida CO 
1387596,3027 Highway 348 Delta CO 
1387596,3269 Highway 348 Delta CO 
1387597,1445 Porter Ct Delta CO 
1387597,1154 Meeker St Delta CO 
1387598,1675 Highway 92 Delta CO 
1387598,1784 S Apple Dr Delta CO 
1387618,777 E 14th Ave Denver CO 
1387618,1445 N Corona St Denver CO 
1387619,1050 N Sherman St Denver CO 
1387619,830 N Sherman St Denver CO 
1387620,1035 N Pearl St Denver CO 
1387620,550 E 12th Ave Denver CO 
1387621,775 E 11th Ave Denver CO 
1387621,1255 N Ogden St Denver CO 
1387622,330 E 10th Ave Denver CO 
1387622,980 N Grant St Denver CO 
1387623,833 N Emerson St Denver CO 
1387623,800 N Pearl St Denver CO 
1387624,1075 N Corona St Denver CO 
1387624,940 N Ogden St Denver CO 
1387648,236 E Colfax Ave Denver CO 
1387648,1309 N Grant St Denver CO 
1387660,2515 E 6th Ave Denver CO 
1387660,728 York St Denver CO 
1387663,1481 S Quitman St Denver CO 
1387663,1341 S Perry St Denver CO 
1387664,1151 S Knox Ct Denver CO 
1387664,1225 S Grove St Denver CO 
1387665,1659 S Sheridan Blvd Lakewood CO 
1387665,3999 N Colorado Blvd Denver CO 
1387666,3888 E Mexico Ave Denver CO 
1387666,3888 E Mexico Ave Denver CO 
1387667,5024 E Warren Ave Denver CO 
1387667,1970 S Stuart St Denver CO 
1387668,2126 S Osceola St Denver CO 
1387668,1965 S Irving St Denver CO 
1387669,1823 W Pacific Pl Denver CO 
1387669,2356 N Clay St Denver CO 
1387670,2563 S Xavier St Denver CO 
1387670,2535 S Yates St Denver CO 
1387671,2625 S Julian St Denver CO 
1387671,2318 S Perry St Denver CO 
1387675,5600 E Amherst Ave Denver CO 
1387675,5600 E Amherst Ave Denver CO 
1387676,2966 S Sheridan Blvd Denver CO 
1387676,2890 S Utica St Denver CO 
1387677,2910 S Perry Way Denver CO 
1387677,4095 W Floyd Ave Denver CO 
1387678,3400 S Lowell Blvd Denver CO 
1387678,3220 Irving St Denver CO 
1387679,2850 S Federal Blvd Lakewood CO 
1387679,2746 W Yale Ave Denver CO 
1387681,3015 S Zurich Ct Denver CO 
1387681,3084 S Winona Ct Denver CO 
1387705,1315 S Logan St Denver CO 
1387705,1466 S Lincoln St Denver CO 
1387706,1871 S University Blvd Denver CO 
1387706,2045 N Race St Denver CO 
1387707,2617 W Evans Ave Denver CO 
1387707,3014 W Colorado Ave Denver CO 
1387727,480 S Decatur St Denver CO 
1387727,605 S Dale Ct Denver CO 
1387739,410 N High St Denver CO 
1387739,333 Vine St Denver CO 
1387740,3498 E Ellsworth Ave Denver CO 
1387740,22 S Adams St Denver CO 
1387741,189 S Garfield St Denver CO 
1387741,21 Harrison St Denver CO 
1387744,460 S Humboldt St Denver CO 
1387744,1509 E Virginia Ave Denver CO 
1387745,480 S Vine St Denver CO 
1387745,355 S Williams St Denver CO 
1387746,2500 E Cherry Creek South Dr Denver CO 
1387746,3100 E Cherry Creek South Dr Denver CO 
1387747,2552 E Alameda Ave Denver CO 
1387747,400 S Steele St Denver CO 
1387748,835 S University Blvd Denver CO 
1387748,592 S High St Denver CO 
1387749,1055 S Milwaukee Way Denver CO 
1387749,919 S Columbine St Denver CO 
1387750,1020 S Madison St Denver CO 
1387750,875 S Colorado Blvd Denver CO 
1387751,909 S Race St Denver CO 
1387751,905 S Gaylord St Denver CO 
1387752,1285 S Colorado Blvd Denver CO 
1387752,1154 S Fillmore St Denver CO 
1387779,4590 Quebec St Denver CO 
1387779,4363 S Quebec St Denver CO 
1387780,8326 E 35th Ave Denver CO 
1387780,3210 Spruce St Denver CO 
1387781,3156 Dayton St Denver CO 
1387781,10425 E 31st Ave Denver CO 
1387782,2865 Olive St Denver CO 
1387782,2930 Olive St Denver CO 
1387783,2852 Roslyn St Denver CO 
1387783,7962 E 29th Pl Denver CO 
1387784,2938 Central Park Blvd Denver CO 
1387784,8405 E 28th Ave Denver CO 
1387785,2917 Emporia St Denver CO 
1387785,2995 Fulton St Denver CO 
1387786,2874 Geneva Ct Denver CO 
1387786,2880 Havana St Denver CO 
1387787,6900 W 25th Ave Edgewater CO 
1387787,6900 W 25th Ave Denver CO 
1387788,2647 Syracuse St Denver CO 
1387788,7401 E 26th Ave Denver CO 
1387789,2070 S Monaco Pkwy Denver CO 
1387789,2111 Quebec St Denver CO 
1387790,2110 Quebec St Denver CO 
1387790,2235 Quince St Denver CO 
1387791,2011 Uinta St Denver CO 
1387791,2298 Valentia St Denver CO 
1387792,4805 Crystal St Denver CO 
1387792,13400 Albrook Dr Denver CO 
1387793,5523 Tucson St Denver CO 
1387793,12385 E 55th Ave Denver CO 
1387794,5186 Carson St Denver CO 
1387794,5180 Crystal St Denver CO 
1387795,14937 E 50th Ave Denver CO 
1387795,5035 Fraser Way Denver CO 
1387796,4767 Fraser Way Denver CO 
1387796,14971 E Elk Pl Denver CO 
1387797,4487 Duluth Way Denver CO 
1387797,14554 Andrews Dr Denver CO 
1387798,4366 Dearborn St Denver CO 
1387798,15075 E 43rd Ave Denver CO 
1387799,5555 Helena St Denver CO 
1387799,16060 E 55th Ave Denver CO 
1387800,15622 E 52nd Ave Denver CO 
1387800,4877 Joplin St Denver CO 
1387801,5192 Espana Way Denver CO 
1387801,5103 Cathay Ct Denver CO 
1387802,4823 Jebel St Denver CO 
1387802,20561 E 48th Pl Denver CO 
1387803,20466 Robins Dr Denver CO 
1387803,5503 Malaya St Denver CO 
1387804,5473 Odessa St Denver CO 
1387804,4926 Perth St Denver CO 
1387805,18269 E 44th Ave Denver CO 
1387805,4255 Kittredge St Denver CO 
1387806,4775 Argonne St Denver CO 
1387806,4645 Andes St Denver CO 
1387807,4536 Ceylon St Denver CO 
1387807,19200 E Scott Pl Denver CO 
1387808,4345 Malaya St Denver CO 
1387808,20927 E 45th Ave Denver CO 
1387809,21447 E 47th Ave Denver CO 
1387809,4862 Odessa St Denver CO 
1387810,4318 Cathay St Denver CO 
1387810,4450 Dunkirk Way Denver CO 
1387811,19357 E 41st Ave Denver CO 
1387811,19523 E 39th Ave Denver CO 
1387812,20743 E 43rd Ave Denver CO 
1387812,20142 E 40th Pl Denver CO 
1387813,21166 E 40th Pl Denver CO 
1387813,3822 Jericho St Denver CO 
1387814,18909 E 58th Ave Denver CO 
1387814,5764 Biscay St Denver CO 
1387815,8761 E 33rd Ave Denver CO 
1387815,9107 E 35th Ave Denver CO 
1387816,3955 Ulster St Denver CO 
1387816,3955 Ulster St Denver CO 
1387823,3346 N Gilpin St Denver CO 
1387823,1300 Bruce Randolph Ave Denver CO 
1387824,3539 N Race St Denver CO 
1387824,3514 N Williams St Denver CO 
1387825,3622 N Jackson St Denver CO 
1387825,3616 N Elizabeth St Denver CO 
1387826,2903 Bruce Randolph Ave Denver CO 
1387826,3235 N Columbine St Denver CO 
1387827,3333 W 35th Ave Denver CO 
1387827,3349 N Harrison St Denver CO 
1387828,3390 S Eudora St Denver CO 
1387828,3740 Dahlia St Denver CO 
1387829,3235 S Holly St Denver CO 
1387829,3634 Holly St Denver CO 
1387830,3333 Locust St Denver CO 
1387830,6090 Smith Rd Denver CO 
1387832,2409 Court Pl Denver CO 
1387832,2418 Champa St Denver CO 
1387833,3025 N Downing St Denver CO 
1387833,676 W 29th Ave Denver CO 
1387834,919 E 20th Ave Denver CO 
1387834,2420 N Clarkson St Denver CO 
1387835,3021 N Lafayette St Denver CO 
1387835,3053 N Humboldt St Denver CO 
1387836,2830 N Gaylord St Denver CO 
1387836,2932 N Race St Denver CO 
1387837,2544 N Humboldt St Denver CO 
1387837,1423 E 25th Ave Denver CO 
1387838,2652 N Race St Denver CO 
1387838,2631 N York St Denver CO 
1387839,2800 Columbine Rd Denver CO 
1387839,2839 N Fillmore St Denver CO 
1387840,2700 N Fillmore St Denver CO 
1387840,3048 N Adams St Denver CO 
1387841,2835 Colorado Blvd Denver CO 
1387841,2835 Colorado Blvd Denver CO 
1387842,3006 Dexter St Denver CO 
1387842,3009 Ash St Denver CO 
1387843,2807 Grape St Denver CO 
1387843,3013 Hudson St Denver CO 
1387844,3055 Leyden St Denver CO 
1387844,2840 Holly St Denver CO 
1387845,2680 Albion St Denver CO 
1387845,2346 Clermont St Denver CO 
1387846,2590 N Glencoe St Denver CO 
1387846,2441 S Dahlia Ln Denver CO 
1387847,2635 Ivy St Denver CO 
1387847,2575 Monaco Pkwy Denver CO 
1387848,2231 N Lafayette St Denver CO 
1387848,1705 N Franklin St Denver CO 
1387849,1913 S High St Denver CO 
1387849,2005 N Gaylord St Denver CO 
1387850,1705 Gaylord St Denver CO 
1387850,1555 N High St Denver CO 
1387851,3340 W 23rd Ave Denver CO 
1387851,2940 E 17th Ave Denver CO 
1387852,1680 Steele St Denver CO 
1387852,1601 Colorado Blvd Denver CO 
1387853,2053 Clermont St Denver CO 
1387853,2201 Birch St Denver CO 
1387854,2266 Ivy St Denver CO 
1387854,5701 Montview Blvd Denver CO 
1387855,4360 Montview Blvd Denver CO 
1387855,1980 Bellaire St Denver CO 
1387856,1623 Grape St Denver CO 
1387856,5020 Montview Blvd Denver CO 
1387857,6001 E Colfax Ave Denver CO 
1387857,1793 Holly St Denver CO 
1387858,1780 S Monaco Pkwy Denver CO 
1387858,6300 Montview Blvd Denver CO 
1387859,1950 Trenton St Denver CO 
1387859,2030 Roslyn St Denver CO 
1387864,444 E 19th Ave Denver CO 
1387864,1950 N Logan St Denver CO 
1387882,4821 Fenton St Denver CO 
1387882,4949 N Raleigh St Denver CO 
1387883,5141 Newton St Denver CO 
1387883,4851 Perry St Denver CO 
1387884,4920 Eliot St Denver CO 
1387884,5119 Zuni St Denver CO 
1387885,4715 Stuart St Denver CO 
1387885,4492 Xavier St Denver CO 
1387886,4694 Osceola St Denver CO 
1387886,4675 Osceola St Denver CO 
1387887,2757 W 46th Ave Denver CO 
1387887,4582 Eliot St Denver CO 
1387888,3875 Yates St Denver CO 
1387888,4336 Winona Ct Denver CO 
1387889,3850 Utica St Denver CO 
1387889,4244 Lowell Blvd Denver CO 
1387890,3954 Lowell Blvd Denver CO 
1387890,3800 S Julian St Denver CO 
1387891,4319 Zuni St Denver CO 
1387891,4548 Bryant St Denver CO 
1387892,3820 Zuni St Denver CO 
1387892,3850 Alcott St Denver CO 
1387893,4808 W 36th Ave Denver CO 
1387893,3747 Stuart St Denver CO 
1387894,4630 W 33rd Ave Denver CO 
1387894,2959 Zenobia St Denver CO 
1387895,3126 Newton St Denver CO 
1387895,3731 Meade St Denver CO 
1387896,3480 W 36th Ave Denver CO 
1387896,3445 W Hayward Pl Denver CO 
1387897,3241 W 29th Ave Denver CO 
1387897,3041 W 36th Ave Denver CO 
1387898,3734 Alcott St Denver CO 
1387898,3557 Decatur St Denver CO 
1387899,2460 W Caithness Pl Denver CO 
1387899,3240 Bryant St Denver CO 
1387900,2214 N Sheridan Blvd Denver CO 
1387900,4077 W 26th Ave Denver CO 
1387901,2650 Perry St Denver CO 
1387901,2155 Newton St Denver CO 
1387902,3384 W 29th Ave Denver CO 
1387902,3634 W 29th Ave Denver CO 
1387903,3051 W 21st Ave Denver CO 
1387903,1900 Meade St Denver CO 
1387904,1620 Sheridan Blvd Denver CO 
1387904,1379 Yates St Denver CO 
1387905,1443 Quitman St Denver CO 
1387905,4444 W 17th Ave Denver CO 
1387906,1678 S Newton St Denver CO 
1387906,1678 S Newton St Denver CO 
1387907,3483 W 13th Ave Denver CO 
1387907,1468 King St Denver CO 
1387908,2708 W 13th Ave Denver CO 
1387908,976 Decatur St Denver CO 
1387909,5375 W 10th Ave Lakewood CO 
1387909,650 Vrain St Denver CO 
1387910,3601 E 7th Avenue Pkwy Denver CO 
1387910,3601 E 7th Avenue Pkwy Denver CO 
1387911,3027 W 10th Ave Denver CO 
1387911,980 Hooker St Denver CO 
1387912,345 Raleigh St Denver CO 
1387912,250 Sheridan Blvd Lakewood CO 
1387913,138 Perry St Denver CO 
1387913,3305 W 5th Ave Denver CO 
1387914,116 S Sheridan Blvd Lakewood CO 
1387914,75 S Quitman St Denver CO 
1387915,3498 E Ellsworth Ave Denver CO 
1387915,3498 E Ellsworth Ave Denver CO 
1387916,430 S Sheridan Blvd Lakewood CO 
1387916,480 S Sheridan Blvd Lakewood CO 
1387917,3279 W Virginia Ave Denver CO 
1387917,300 Linley Ct Denver CO 
1387926,4929 Vallejo St Denver CO 
1387926,4885 Shoshone St Denver CO 
1387927,4745 Logan St Denver CO 
1387927,4610 Pearl St Denver CO 
1387928,3932 Blake St Denver CO 
1387928,3015 E 40th Ave Denver CO 
1387929,5063 Saint Paul St Denver CO 
1387929,3489 W 48th Ave Denver CO 
1387930,4537 Lipan St Denver CO 
1387930,4558 Quivas St Denver CO 
1387931,1550 Platte St Denver CO 
1387931,2560 17th St Denver CO 
1387932,1920 17th St Denver CO 
1387932,1801 Bassett St Denver CO 
1387933,966 29th St Denver CO 
1387933,2121 Delgany St Denver CO 
1387934,2797 Wewatta Way Denver CO 
1387934,2500 N Broadway Denver CO 
1387936,1551 Larimer St Denver CO 
1387936,1514 17th St Denver CO 
1388045,124 S Glasgow Ave Rico CO 
1388045,105 N Webster Way Rico CO 
1388046,12701 Road S Cahone CO 
1388046,54609 Highway 491 Cahone CO 
1388047,8566 Road H 6 Dove Creek CO 
1388047,18884 Road 3.7 Dove Creek CO 
1388048,434 N Dove St Dove Creek CO 
1388048,63880 Highway 491 Dove Creek CO 
1388441,6395 Altman Dr Colorado Springs CO 
1388441,6135 Garlock Way Colorado Springs CO 
1388442,5362 N Nevada Ave Colorado Springs CO 
1388442,3841 N Cascade Ave Colorado Springs CO 
1388443,319 Elmwood Dr Colo Spgs CO 
1388443,319 Elmwood Dr Colo Spgs CO 
1388445,4250 N Nonchalant Cir Colorado Springs CO 
1388445,4532 N Sleepy Hollow Cir Colorado Springs CO 
1388497,2826 Hudson St Colorado Springs CO 
1388497,2569 E Pikes Peak Ave Colorado Springs CO 
1388498,5150 Airport Rd Colorado Springs CO 
1388498,319 Ellers Grv Colorado Springs CO 
1388658,8527 County Road 19 Wetmore CO 
1388658,253 Hazel Ln Wetmore CO 
1388660,420 E 2nd St Florence CO 
1388660,4671 Butte Rd Florence CO 
1388661,201 W Main St Florence CO 
1388661,709 Pine Ave Canon City CO 
1388662,320 Quartz St Florence CO 
1388662,714 W 7th St Florence CO 
1388663,49 Wild Rose Dr Canon City CO 
1388663,26 Ptarmigan Trl Canon City CO 
1388664,120 Greenwood Ave Canon City CO 
1388664,521 Greenwood Ave Canon City CO 
1388665,1016 Rudd Ave Canon City CO 
1388665,722 S 10th St Canon City CO 
1388666,241 Justice Center Rd Canon City CO 
1388666,120 Rhodes Ave Canon City CO 
1388667,2311 Pear St Canon City CO 
1388667,350 Field Ave Canon City CO 
1388668,606 N 15th St Canon City CO 
1388668,426 N Orchard Ave Canon City CO 
1388669,510 Floral Ave Canon City CO 
1388669,810 Pine Ave Canon City CO 
1388670,1338 Phay Ave Canon City CO 
1388670,1821 N 5th St Canon City CO 
1388671,2209 N 7th St Canon City CO 
1388671,407 Foothills Dr Canon City CO 
1388672,1875 Central Ave Canon City CO 
1388672,2299 Washington St Canon City CO 
1388673,1315 Chris Crossover Canon City CO 
1388673,1803 Cliffside Heights Rd Canon City CO 
1388674,12078 Highway 50 Howard CO 
1388674,11653 Us Highway 50 Howard CO 
1388675,94 State Highway 69 Hillside CO 
1388675,334 Cottonwood Trl Cotopaxi CO 
1388676,77 Kelso Rd Howard CO 
1388676,3565 E Us Highway 50 Salida CO 
1388677,1505 County Road 123 Canon City CO 
1388677,3528 El Dorado Dr Canon City CO 
1388681,380 Columbine Ln Silt CO 
1388681,407 County Road 250 Silt CO 
1388682,3879 County Road 346 Silt CO 
1388682,8622 County Road 301 Parachute CO 
1388683,1562 E 12th St Rifle CO 
1388683,134 E 5th St Rifle CO 
1388684,15805 County Road 245 New Castle CO 
1388684,13701 County Road 245 New Castle CO 
1388685,1010 Wamsley Way Rifle CO 
1388685,1150 Access Rd Rifle CO 
1388686,68 Eagle Rock Pl Btlmt Mesa CO 
1388686,805 County Road 323 Rifle CO 
1388705,321 High St Black Hawk CO 
1388705,311 Eureka St Central City CO 
1388706,2110 Upper Apex Rd Central City CO 
1388706,74 Mammoth Gulch Rd Rollinsville CO 
1388707,1067 Crawford Gulch Rd Golden CO 
